Part Name,Color,Quantity,Part ID,Color Code
"Minifig Sack with Hand Grab","Medium Nougat",1,10169.dat,84
"Bar Tube with Clip","Reddish Brown",8,11090.dat,70
"Tile  2 x  2 Inverted","Black",6,11203.dat,0
"Brick  1 x  2 with Two Studs on One Side","Black",1,11211.dat,0
"Brick  1 x  2 with Two Studs on One Side","Red",1,11211.dat,4
"Brick  1 x  2 with Two Studs on One Side","White",2,11211.dat,15
"Brick  1 x  2 with Two Studs on One Side","Tan",3,11211.dat,19
"Technic Axle Pin Long with Friction with  2L Pin","Dark Bluish Grey",1,11214.dat,72
"Plate  1 x  2 with Clip Horizontal on Side (Thick C-Clip)","Reddish Brown",1,11476.dat,70
"Slope Brick Curved  2 x  1","Dark Tan",2,11477.dat,28
"Slope Brick Curved  2 x  1","Reddish Brown",11,11477.dat,70
"Slope Brick Curved  2 x  1","Dark Green",3,11477.dat,288
"Slope Brick Curved  2 x  1","Dark Brown",12,11477.dat,308
"Slope Brick Curved  2 x  1","Dark Azure",2,11477.dat,321
"Slope Brick Curved  2 x  1","Olive Green",8,11477.dat,330
"Arch  1 x  3 x  3","Reddish Brown",2,13965.dat,70
"Plate  1 x  2 with Ball Joint-8 on Side","Dark Bluish Grey",1,14417.dat,72
"Plate  1 x  2 with Socket Joint-8 with Friction","Light Bluish Grey",9,14418.dat,71
"Plate  1 x  2 with Socket Joint-8 with Friction and Ball Joint-8","Dark Bluish Grey",6,14419.dat,72
"Tile  2 x  2 Corner","White",1,14719.dat,15
"Tile  2 x  2 Round with Round Underside Stud","Light Bluish Grey",3,14769.dat,71
"Tile  2 x  2 Round with Round Underside Stud with Tan and Dark Tan Tree Stump Pattern","Reddish Brown",1,14769p83.dat,70
"Slope Brick Curved  2 x  2 x  0.667","Reddish Brown",10,15068.dat,70
"Slope Brick Curved  2 x  2 x  0.667","Bright Light Orange",1,15068.dat,191
"Slope Brick Curved  2 x  2 x  0.667","Dark Blue",5,15068.dat,272
"Slope Brick Curved  2 x  2 x  0.667","Dark Brown",3,15068.dat,308
"Technic Axle  5 with Stop","Reddish Brown",1,15462.dat,70
"Plate  1 x  2 with Groove with 1 Centre Stud without Understud","Black",7,15573.dat,0
"Plate  1 x  2 with Groove with 1 Centre Stud without Understud","Reddish Brown",12,15573.dat,70
"Plate  1 x  2 with Groove with 1 Centre Stud without Understud","Dark Blue",3,15573.dat,272
"Plate  1 x  2 with Groove with 1 Centre Stud without Understud","Dark Green",3,15573.dat,288
"Plate  1 x  2 with Groove with 1 Centre Stud without Understud","Sand Green",4,15573.dat,378
"Fence Spindled  4 x  4 x  2 Quarter Round with  3 Studs","Reddish Brown",2,21229.dat,70
"Minifig Food Cherry","Red",1,22667.dat,4
"Brick  1 x  2 x  1.667 with Studs on 1 Side","Light Bluish Grey",21,22885.dat,71
"Plate  1 x  2 with Ball Joint-8 on End","Dark Bluish Grey",7,22890.dat,72
